Date,Time,Home Team,Away Team,Notes
2024-05-14,19:00,New York Liberty,Washington Mystics,Opening Night
2024-05-14,20:00,Indiana Fever,Connecticut Sun,Opening Night
2024-05-14,22:00,Phoenix Mercury,Las Vegas Aces,Opening Night
2024-05-14,22:00,Minnesota Lynx,Seattle Storm,Opening Night
2024-05-18,19:00,New York Liberty,Indiana Fever,Liberty's home opener
2024-06-15,19:00,Las Vegas Aces,New York Liberty,Finals rematch 1
2024-08-17,20:00,Las Vegas Aces,New York Liberty,Finals rematch 2
2024-09-08,19:00,New York Liberty,Las Vegas Aces,Finals rematch 3
2024-08-20,19:00,Connecticut Sun,Los Angeles Sparks,WNBA at TD Garden
2024-06-01,"",TBD,TBD,Comm. Cup begins
2024-06-13,"",TBD,TBD,Comm. Cup ends
2024-06-25,"",TBD,TBD,Comm. Cup Final
2024-07-17,"",TBD,TBD,Last game before Olympic break
2024-07-20,"",TBD,TBD,WNBA All-Star Game
2024-08-15,"",TBD,TBD,Season resumes post-Olympics
2024-09-19,"",TBD,TBD,Regular season ends
